
Week,Nvidia
2015-08-30,60
2015-09-06,58
2015-09-13,51
2015-09-20,50
2015-09-27,51
2015-10-04,65
2015-10-11,58
2015-10-18,54
2015-10-25,52
2015-11-01,57
2015-11-08,77
2015-11-15,72
2015-11-22,84
2015-11-29,80
2015-12-06,63
2015-12-13,61
2015-12-20,75
2015-12-27,69
2016-01-03,54
2016-01-10,45
2016-01-17,47
2016-01-24,51
2016-01-31,48
2016-02-07,46
2016-02-14,49
2016-02-21,45
2016-02-28,45
2016-03-06,55
2016-03-13,48
2016-03-20,46
2016-03-27,47
2016-04-03,54
2016-04-10,50
2016-04-17,45
2016-04-24,42
2016-05-01,61
2016-05-08,73
2016-05-15,62
2016-05-22,62
2016-05-29,59
2016-06-05,58
2016-06-12,54
2016-06-19,51
2016-06-26,56
2016-07-03,55
2016-07-10,51
2016-07-17,51
2016-07-24,56
2016-07-31,57
2016-08-07,52
2016-08-14,50
2016-08-21,47
2016-08-28,49
2016-09-04,48
2016-09-11,48
2016-09-18,46
2016-09-25,44
2016-10-02,44
2016-10-09,45
2016-10-16,55
2016-10-23,59
2016-10-30,49
2016-11-06,51
2016-11-13,59
2016-11-20,63
2016-11-27,60
2016-12-04,50
2016-12-11,52
2016-12-18,57
2016-12-25,63
2017-01-01,67
2017-01-08,54
2017-01-15,55
2017-01-22,53
2017-01-29,53
2017-02-05,59
2017-02-12,55
2017-02-19,54
2017-02-26,60
2017-03-05,57
2017-03-12,55
2017-03-19,53
2017-03-26,48
2017-04-02,51
2017-04-09,49
2017-04-16,47
2017-04-23,48
2017-04-30,46
2017-05-07,63
2017-05-14,51
2017-05-21,53
2017-05-28,52
2017-06-04,57
2017-06-11,59
2017-06-18,59
2017-06-25,54
2017-07-02,51
2017-07-09,57
2017-07-16,52
2017-07-23,52
2017-07-30,53
2017-08-06,62
2017-08-13,54
2017-08-20,48
2017-08-27,49
2017-09-03,44
2017-09-10,45
2017-09-17,51
2017-09-24,50
2017-10-01,48
2017-10-08,52
2017-10-15,47
2017-10-22,55
2017-10-29,57
2017-11-05,66
2017-11-12,61
2017-11-19,66
2017-11-26,69
2017-12-03,68
2017-12-10,63
2017-12-17,65
2017-12-24,67
2017-12-31,59
2018-01-07,76
2018-01-14,68
2018-01-21,72
2018-01-28,68
2018-02-04,76
2018-02-11,66
2018-02-18,59
2018-02-25,62
2018-03-04,58
2018-03-11,57
2018-03-18,61
2018-03-25,73
2018-04-01,57
2018-04-08,51
2018-04-15,49
2018-04-22,50
2018-04-29,50
2018-05-06,65
2018-05-13,54
2018-05-20,53
2018-05-27,53
2018-06-03,54
2018-06-10,49
2018-06-17,50
2018-06-24,56
2018-07-01,50
2018-07-08,51
2018-07-15,59
2018-07-22,52
2018-07-29,55
2018-08-05,53
2018-08-12,75
2018-08-19,100
2018-08-26,60
2018-09-02,53
2018-09-09,53
2018-09-16,55
2018-09-23,49
2018-09-30,50
2018-10-07,50
2018-10-14,51
2018-10-21,48
2018-10-28,50
2018-11-04,49
2018-11-11,71
2018-11-18,75
2018-11-25,68
2018-12-02,58
2018-12-09,57
2018-12-16,60
2018-12-23,61
2018-12-30,55
2019-01-06,61
2019-01-13,54
2019-01-20,52
2019-01-27,61
2019-02-03,53
2019-02-10,59
2019-02-17,56
2019-02-24,49
2019-03-03,47
2019-03-10,53
2019-03-17,56
2019-03-24,47
2019-03-31,47
2019-04-07,43
2019-04-14,42
2019-04-21,43
2019-04-28,41
2019-05-05,41
2019-05-12,47
2019-05-19,43
2019-05-26,49
2019-06-02,46
2019-06-09,47
2019-06-16,48
2019-06-23,46
2019-06-30,45
2019-07-07,49
2019-07-14,47
2019-07-21,47
2019-07-28,42
2019-08-04,45
2019-08-11,51
2019-08-18,52
2019-08-25,44
2019-09-01,41
2019-09-08,43
2019-09-15,44
2019-09-22,40
2019-09-29,38
2019-10-06,41
2019-10-13,43
2019-10-20,49
2019-10-27,54
2019-11-03,52
2019-11-10,53
2019-11-17,49
2019-11-24,57
2019-12-01,51
2019-12-08,45
2019-12-15,47
2019-12-22,47
2019-12-29,47
2020-01-05,49
2020-01-12,48
2020-01-19,49
2020-01-26,47
2020-02-02,50
2020-02-09,57
2020-02-16,59
2020-02-23,57
2020-03-01,52
2020-03-08,55
2020-03-15,60
2020-03-22,62
2020-03-29,56
2020-04-05,58
2020-04-12,65
2020-04-19,64
2020-04-26,64
2020-05-03,63
2020-05-10,72
2020-05-17,73
2020-05-24,63
2020-05-31,53
2020-06-07,62
2020-06-14,59
2020-06-21,63
2020-06-28,60
2020-07-05,65
2020-07-12,63
2020-07-19,64
2020-07-26,64
2020-08-02,66
2020-08-09,68
2020-08-16,89
2020-08-23,73
